Car_ID,Car_Model,Model_Year,Car_Age,Mileage_KM,Fuel_Type,Region,Components,Health_Score,Conditions,Failure_Type,Failure_Date,Maintenance_Type,Maintenance_Cost,Downtime_Hours,Service_Center,Car_Status
CAR-1258,Premium Sedan,2024,2,33315,Petrol,South,Headlight,91,Healthy,No Failure,10/23/2024,Preventive,116.53,2,Center Delta,Healthy
CAR-1441,Premium Sedan,2024,2,26956,Petrol,East,Engine,100,Healthy,No Failure,2/24/2023,Preventive,803.79,2,Center Delta,Healthy
CAR-1144,Sedan,2023,3,37280,Diesel,East,Tyre,61,Warning,Tyre Damage,12/30/2023,Corrective,194.4,19,Center Alpha,Healthy
CAR-1120,Compact,2023,3,20003,Diesel,West,Engine,77,Healthy,No Failure,3/10/2025,Preventive,742.82,3,Center Alpha,Healthy
CAR-1271,Premium Sedan,2019,7,121790,Hybrid,North,Engine,27,Critical,Mechanical Failure,3/24/2024,Emergency,1946.32,30,Center Gamma,Under Maintenance
CAR-1322,City,2018,8,111309,Petrol,North,Tyre,24,Critical,Tyre Damage,5/23/2023,Emergency,396.69,67,Center Delta,Under Maintenance
CAR-1100,Hatchback,2023,3,57082,Hybrid,Central,Tyre,82,Healthy,No Failure,5/14/2023,Preventive,167.1,3,Center Gamma,Healthy
CAR-1335,Sedan,2022,4,66036,Petrol,East,Battery,27,Critical,Battery Failure,9/23/2023,Corrective,252.55,10,Center Alpha,Needs Inspection
CAR-1449,Crossover,2020,6,111492,Diesel,Central,Cooling System,38,Critical,Overheating,6/17/2025,Emergency,886.8,27,Center Gamma,Under Maintenance
CAR-1424,City,2018,8,116408,Diesel,East,Suspension,41,Critical,Suspension Failure,11/1/2025,Corrective,748.16,15,Center Delta,Needs Inspection
CAR-1140,Compact,2022,4,62781,Electric,South,Cooling System,73,Warning,Overheating,10/24/2024,Preventive,242.65,2,Center Gamma,Healthy
CAR-1286,Sedan,2021,5,84598,Electric,East,Transmission,44,Critical,Transmission Fault,12/15/2025,Emergency,1865.43,71,Center Alpha,Under Maintenance
CAR-1470,City,2019,7,90315,Electric,South,Battery,46,Warning,Battery Failure,2/23/2025,Preventive,189.85,3,Center Epsilon,Healthy
CAR-1358,Sedan,2023,3,32220,Diesel,North,Engine,67,Warning,Overheating,2/6/2025,Corrective,1487.56,20,Center Epsilon,Healthy
CAR-1482,Hatchback,2018,8,86182,Diesel,Central,Transmission,30,Critical,Transmission Fault,6/19/2025,Corrective,1339.07,19,Center Alpha,Needs Inspection
CAR-1012,Crossover,2024,2,33913,Hybrid,Central,Battery,41,Critical,Battery Failure,6/13/2023,Emergency,540.35,69,Center Alpha,Under Maintenance
CAR-1482,Hatchback,2018,8,100531,Diesel,Central,Suspension,10,Critical,Suspension Failure,9/15/2024,Corrective,621.79,21,Center Delta,Needs Inspection
CAR-1081,Crossover,2018,8,105106,Diesel,West,Tyre,32,Critical,Tyre Damage,2/1/2024,Emergency,386.15,60,Center Alpha,Under Maintenance
CAR-1104,City,2021,5,38271,Electric,North,Battery,58,Warning,Battery Failure,8/20/2023,Preventive,219.68,1,Center Epsilon,Healthy
CAR-1283,Sedan,2018,8,143294,Hybrid,West,Suspension,47,Warning,Suspension Failure,8/13/2025,Corrective,805.2,17,Center Epsilon,Healthy
CAR-1466,City,2018,8,130448,Petrol,North,Tyre,36,Critical,Tyre Damage,5/28/2023,Emergency,319.76,19,Center Epsilon,Needs Inspection
CAR-1231,Premium Sedan,2022,4,38326,Petrol,West,Headlight,89,Healthy,No Failure,7/16/2024,Preventive,127.12,3,Center Gamma,Healthy
CAR-1441,Premium Sedan,2024,2,35421,Petrol,East,Cooling System,78,Healthy,No Failure,12/26/2023,Preventive,252.39,2,Center Alpha,Healthy
CAR-1328,Crossover,2024,2,31816,Diesel,East,Battery,70,Warning,Battery Failure,6/18/2023,Preventive,199.35,3,Center Alpha,Healthy
CAR-1377,Crossover,2022,4,51050,Diesel,East,Headlight,57,Warning,Lighting Failure,12/17/2023,Corrective,176.15,16,Center Delta,Healthy
CAR-1225,Crossover,2018,8,129233,Petrol,North,Tyre,38,Critical,Tyre Damage,4/25/2025,Emergency,342.12,38,Center Delta,Under Maintenance
CAR-1472,Hatchback,2019,7,82518,Petrol,East,Engine,47,Warning,Overheating,5/11/2024,Preventive,966.38,3,Center Delta,Healthy
CAR-1232,Sedan,2022,4,59984,Diesel,East,Transmission,61,Warning,Transmission Fault,10/8/2024,Corrective,1758.24,19,Center Delta,Healthy
CAR-1223,City,2018,8,138165,Hybrid,East,Headlight,20,Critical,Lighting Failure,3/29/2023,Emergency,302.22,29,Center Delta,Under Maintenance
CAR-1460,City,2021,5,64430,Hybrid,Central,Brake,57,Warning,Brake Wear,2/17/2024,Corrective,379.51,16,Center Delta,Healthy
CAR-1366,Sedan,2019,7,124767,Petrol,South,Tyre,33,Critical,Tyre Damage,5/23/2025,Emergency,439.07,65,Center Beta,Under Maintenance
CAR-1490,Crossover,2019,7,71721,Electric,West,Transmission,30,Critical,Transmission Fault,4/22/2023,Emergency,2491.85,55,Center Epsilon,Under Maintenance
CAR-1392,Crossover,2020,6,61261,Diesel,Central,Engine,43,Critical,Wear,10/11/2025,Emergency,1926.93,26,Center Gamma,Under Maintenance
CAR-1100,Hatchback,2023,3,23270,Hybrid,Central,Tyre,89,Healthy,No Failure,10/10/2025,Preventive,168.25,3,Center Gamma,Healthy
CAR-1153,Hatchback,2019,7,71705,Diesel,North,Tyre,25,Critical,Tyre Damage,5/30/2024,Emergency,317.44,49,Center Epsilon,Under Maintenance
CAR-1013,Hatchback,2019,7,80533,Petrol,West,Battery,64,Warning,Battery Failure,8/16/2024,Corrective,238,14,Center Gamma,Healthy
CAR-1158,Crossover,2019,7,80727,Diesel,West,Engine,61,Warning,Wear,1/9/2025,Preventive,970.05,2,Center Alpha,Healthy
CAR-1182,Sedan,2024,2,14168,Petrol,South,Battery,100,Healthy,No Failure,8/28/2025,Preventive,197.84,3,Center Alpha,Healthy
CAR-1117,Premium Sedan,2018,8,69923,Hybrid,Central,Transmission,41,Critical,Transmission Fault,4/16/2025,Emergency,2231.81,48,Center Alpha,Under Maintenance
CAR-1499,Premium Sedan,2024,2,29755,Hybrid,Central,Engine,67,Warning,Overheating,7/16/2024,Corrective,1399.35,18,Center Epsilon,Healthy
CAR-1402,City,2024,2,22636,Electric,West,Tyre,92,Healthy,No Failure,9/29/2024,Preventive,154.36,2,Center Beta,Healthy
CAR-1418,Crossover,2022,4,41740,Diesel,West,Engine,62,Warning,Mechanical Failure,9/11/2025,Preventive,692.54,2,Center Delta,Healthy
CAR-1212,Hatchback,2024,2,22929,Petrol,South,Engine,97,Healthy,No Failure,7/24/2023,Preventive,1029.93,2,Center Delta,Healthy
CAR-1328,Crossover,2024,2,31605,Diesel,East,Engine,71,Warning,Overheating,12/29/2025,Corrective,1245.39,11,Center Beta,Healthy
CAR-1159,Premium Sedan,2021,5,75806,Electric,East,Engine,50,Warning,Wear,1/21/2023,Corrective,1423.63,14,Center Beta,Healthy
CAR-1068,Compact,2022,4,43433,Electric,West,Battery,83,Healthy,No Failure,5/2/2025,Preventive,174.44,1,Center Delta,Healthy
CAR-1444,Premium Sedan,2023,3,51152,Petrol,Central,Engine,59,Warning,Wear,1/28/2023,Corrective,1358.97,8,Center Beta,Healthy
CAR-1042,Hatchback,2020,6,94257,Petrol,West,Brake,32,Critical,Brake Wear,4/21/2025,Emergency,570.67,63,Center Epsilon,Under Maintenance
CAR-1004,Hatchback,2024,2,28431,Electric,East,Cooling System,75,Healthy,No Failure,8/10/2024,Preventive,301.76,2,Center Delta,Healthy
CAR-1058,Premium Sedan,2019,7,56997,Hybrid,Central,Transmission,83,Healthy,No Failure,10/4/2023,Preventive,943.77,2,Center Delta,Healthy
CAR-1153,Hatchback,2019,7,130170,Diesel,North,Transmission,13,Critical,Transmission Fault,11/15/2025,Corrective,1833.58,16,Center Alpha,Needs Inspection
CAR-1446,Compact,2021,5,51444,Petrol,East,Tyre,69,Warning,Tyre Damage,2/12/2025,Corrective,256.64,14,Center Delta,Healthy
CAR-1278,City,2021,5,71146,Electric,Central,Tyre,57,Warning,Tyre Damage,7/20/2024,Preventive,179.46,2,Center Alpha,Healthy
CAR-1046,Compact,2021,5,81453,Petrol,East,Cooling System,31,Critical,Overheating,1/21/2024,Emergency,767.85,48,Center Gamma,Under Maintenance
CAR-1364,Crossover,2024,2,11798,Diesel,Central,Battery,79,Healthy,No Failure,9/4/2024,Preventive,224.46,2,Center Delta,Healthy
CAR-1477,Hatchback,2020,6,92027,Electric,Central,Cooling System,37,Critical,Overheating,7/28/2024,Corrective,561.54,11,Center Epsilon,Needs Inspection
CAR-1374,Compact,2018,8,103468,Hybrid,East,Transmission,39,Critical,Transmission Fault,10/18/2025,Corrective,1173.14,20,Center Epsilon,Needs Inspection
CAR-1226,Compact,2023,3,29379,Petrol,North,Headlight,66,Warning,Lighting Failure,7/31/2025,Preventive,117.98,3,Center Delta,Healthy
CAR-1363,City,2024,2,26972,Electric,East,Battery,85,Healthy,No Failure,6/5/2023,Preventive,191.29,1,Center Beta,Healthy
CAR-1189,Crossover,2021,5,90750,Petrol,North,Engine,51,Warning,Mechanical Failure,6/14/2025,Corrective,1503.25,17,Center Alpha,Healthy
CAR-1324,Sedan,2018,8,114778,Petrol,North,Cooling System,22,Critical,Overheating,3/29/2024,Emergency,601.43,54,Center Alpha,Under Maintenance
CAR-1147,Hatchback,2022,4,56639,Diesel,West,Engine,69,Warning,Mechanical Failure,5/23/2023,Preventive,986.55,1,Center Epsilon,Healthy
CAR-1226,Compact,2023,3,59476,Petrol,North,Tyre,73,Warning,Tyre Damage,7/29/2023,Preventive,180.55,1,Center Gamma,Healthy
CAR-1224,Sedan,2018,8,104346,Diesel,North,Engine,36,Critical,Mechanical Failure,5/15/2024,Emergency,1979.5,30,Center Gamma,Under Maintenance
CAR-1146,Premium Sedan,2019,7,96769,Petrol,North,Engine,31,Critical,Overheating,3/24/2023,Emergency,1880.04,64,Center Gamma,Under Maintenance
CAR-1386,Compact,2024,2,35676,Hybrid,South,Cooling System,78,Healthy,No Failure,12/22/2025,Preventive,242.7,3,Center Alpha,Healthy
CAR-1250,Premium Sedan,2023,3,36667,Diesel,South,Cooling System,80,Healthy,No Failure,10/13/2023,Preventive,321.1,1,Center Alpha,Healthy
CAR-1319,Premium Sedan,2023,3,51087,Diesel,North,Battery,61,Warning,Battery Failure,11/30/2023,Corrective,241.09,10,Center Alpha,Healthy
CAR-1195,Sedan,2024,2,28505,Petrol,North,Cooling System,96,Healthy,No Failure,11/25/2024,Preventive,373.85,1,Center Epsilon,Healthy
CAR-1061,Hatchback,2023,3,36322,Electric,South,Tyre,100,Healthy,No Failure,10/22/2024,Preventive,140.08,3,Center Epsilon,Healthy
CAR-1303,City,2019,7,129569,Diesel,Central,Brake,32,Critical,Brake Wear,12/9/2023,Emergency,774.68,48,Center Delta,Under Maintenance
CAR-1437,Hatchback,2020,6,95796,Diesel,North,Engine,53,Warning,Mechanical Failure,5/19/2024,Preventive,708.23,3,Center Epsilon,Healthy
CAR-1178,Crossover,2018,8,75246,Diesel,East,Engine,53,Warning,Wear,8/2/2023,Preventive,748.63,2,Center Alpha,Healthy
CAR-1209,Compact,2021,5,73455,Hybrid,Central,Brake,45,Warning,Brake Wear,3/16/2024,Corrective,367.77,14,Center Epsilon,Healthy
CAR-1108,City,2020,6,72954,Petrol,South,Battery,29,Critical,Battery Failure,5/30/2025,Corrective,304.79,6,Center Gamma,Needs Inspection
CAR-1403,Premium Sedan,2020,6,77619,Electric,South,Tyre,61,Warning,Tyre Damage,1/17/2024,Corrective,218.22,13,Center Alpha,Healthy
CAR-1264,Premium Sedan,2021,5,76175,Diesel,East,Battery,56,Warning,Battery Failure,2/17/2025,Corrective,313.17,6,Center Gamma,Healthy
CAR-1394,Compact,2023,3,33434,Diesel,East,Battery,96,Healthy,No Failure,8/6/2024,Preventive,179.51,2,Center Epsilon,Healthy
CAR-1108,City,2020,6,85839,Petrol,South,Battery,57,Warning,Battery Failure,4/29/2025,Preventive,208.58,3,Center Beta,Healthy
CAR-1449,Crossover,2020,6,76647,Diesel,Central,Cooling System,56,Warning,Overheating,7/24/2025,Corrective,406.15,16,Center Delta,Healthy
CAR-1112,Sedan,2021,5,54371,Petrol,West,Engine,69,Warning,Overheating,6/28/2025,Corrective,1255.63,16,Center Beta,Healthy
CAR-1050,Crossover,2022,4,64894,Petrol,East,Cooling System,59,Warning,Overheating,1/22/2024,Corrective,412.93,22,Center Beta,Healthy
CAR-1080,Compact,2022,4,55317,Diesel,West,Brake,53,Warning,Brake Wear,8/11/2023,Preventive,313.77,3,Center Alpha,Healthy
CAR-1278,City,2021,5,47779,Electric,Central,Engine,62,Warning,Mechanical Failure,3/14/2023,Corrective,1282.49,7,Center Epsilon,Healthy
CAR-1485,Hatchback,2023,3,40404,Diesel,West,Transmission,78,Healthy,No Failure,12/26/2023,Preventive,1132.49,2,Center Gamma,Healthy
CAR-1047,Premium Sedan,2024,2,14917,Electric,Central,Tyre,90,Healthy,No Failure,7/21/2025,Preventive,159.44,2,Center Delta,Healthy
CAR-1420,Crossover,2021,5,88843,Electric,North,Tyre,70,Warning,Tyre Damage,3/27/2025,Preventive,125.38,2,Center Alpha,Healthy
CAR-1293,Sedan,2022,4,68536,Hybrid,South,Brake,82,Healthy,No Failure,4/12/2025,Preventive,305.22,2,Center Delta,Healthy
CAR-1112,Sedan,2021,5,54149,Petrol,West,Tyre,62,Warning,Tyre Damage,12/29/2023,Corrective,238.1,6,Center Gamma,Healthy
CAR-1233,Sedan,2022,4,50374,Diesel,East,Engine,60,Warning,Mechanical Failure,5/4/2023,Preventive,974.19,2,Center Epsilon,Healthy
CAR-1034,Crossover,2020,6,97753,Petrol,East,Headlight,30,Critical,Lighting Failure,10/4/2025,Emergency,218.95,19,Center Delta,Needs Inspection
CAR-1068,Compact,2022,4,42296,Electric,West,Brake,71,Warning,Brake Wear,6/17/2025,Preventive,230.86,3,Center Beta,Healthy
CAR-1353,Crossover,2018,8,81884,Petrol,East,Battery,38,Critical,Battery Failure,4/27/2024,Corrective,369.56,16,Center Epsilon,Needs Inspection
CAR-1110,Sedan,2018,8,118632,Diesel,South,Transmission,21,Critical,Transmission Fault,2/25/2025,Emergency,2166.55,60,Center Epsilon,Under Maintenance
CAR-1486,Crossover,2020,6,59709,Hybrid,Central,Cooling System,63,Warning,Overheating,9/3/2023,Preventive,328.95,2,Center Epsilon,Healthy
CAR-1245,Sedan,2018,8,121006,Petrol,West,Engine,31,Critical,Overheating,6/1/2025,Corrective,1585.34,22,Center Gamma,Needs Inspection
CAR-1153,Hatchback,2019,7,99032,Diesel,North,Cooling System,12,Critical,Overheating,2/3/2024,Corrective,432.77,19,Center Gamma,Needs Inspection
CAR-1202,City,2020,6,66490,Hybrid,North,Brake,72,Warning,Brake Wear,2/10/2025,Corrective,516.15,13,Center Epsilon,Healthy
CAR-1162,Hatchback,2023,3,39107,Hybrid,Central,Engine,72,Warning,Wear,3/18/2024,Corrective,1063.97,21,Center Epsilon,Healthy
CAR-1012,Crossover,2024,2,36929,Hybrid,Central,Battery,96,Healthy,No Failure,1/22/2023,Preventive,210.06,3,Center Epsilon,Healthy
CAR-1213,City,2018,8,101130,Petrol,South,Suspension,28,Critical,Suspension Failure,11/26/2024,Emergency,1352.5,33,Center Alpha,Under Maintenance
CAR-1221,Hatchback,2024,2,37366,Diesel,Central,Headlight,68,Warning,Lighting Failure,10/8/2024,Corrective,194.28,11,Center Gamma,Healthy
CAR-1064,City,2018,8,85928,Diesel,North,Suspension,42,Critical,Suspension Failure,3/12/2025,Emergency,958.73,39,Center Delta,Under Maintenance
CAR-1413,Compact,2023,3,26423,Diesel,South,Battery,81,Healthy,No Failure,2/14/2023,Preventive,193.42,2,Center Epsilon,Healthy
CAR-1082,Premium Sedan,2020,6,83001,Diesel,South,Battery,48,Warning,Battery Failure,3/25/2024,Corrective,332.22,6,Center Beta,Healthy
CAR-1012,Crossover,2024,2,21519,Hybrid,Central,Battery,72,Warning,Battery Failure,11/16/2025,Corrective,364.21,13,Center Epsilon,Healthy
CAR-1230,Crossover,2021,5,55010,Electric,West,Battery,62,Warning,Battery Failure,12/26/2024,Corrective,281.93,17,Center Alpha,Healthy
CAR-1182,Sedan,2024,2,32067,Petrol,South,Tyre,81,Healthy,No Failure,10/21/2024,Preventive,163.94,2,Center Beta,Healthy
CAR-1013,Hatchback,2019,7,106088,Petrol,West,Battery,44,Critical,Battery Failure,11/1/2025,Corrective,362.42,18,Center Beta,Needs Inspection
CAR-1337,Compact,2022,4,71349,Petrol,East,Transmission,34,Critical,Transmission Fault,10/14/2025,Corrective,1441.76,7,Center Epsilon,Needs Inspection
CAR-1153,Hatchback,2019,7,66830,Diesel,North,Brake,52,Warning,Brake Wear,10/29/2024,Corrective,388.07,22,Center Gamma,Healthy
CAR-1120,Compact,2023,3,32610,Diesel,West,Battery,90,Healthy,No Failure,9/3/2024,Preventive,219.84,1,Center Beta,Healthy
CAR-1398,City,2019,7,124450,Electric,Central,Tyre,39,Critical,Tyre Damage,7/17/2025,Emergency,321.75,20,Center Delta,Needs Inspection
CAR-1474,Hatchback,2023,3,53475,Petrol,South,Engine,67,Warning,Mechanical Failure,6/6/2024,Corrective,1141,11,Center Alpha,Healthy
CAR-1451,City,2022,4,56373,Hybrid,East,Battery,98,Healthy,No Failure,5/20/2025,Preventive,233.95,1,Center Delta,Healthy
CAR-1040,City,2018,8,73398,Hybrid,Central,Engine,37,Critical,Overheating,11/2/2025,Emergency,1602.88,64,Center Beta,Under Maintenance
CAR-1228,Premium Sedan,2023,3,58175,Petrol,West,Cooling System,77,Healthy,No Failure,9/12/2024,Preventive,310.84,3,Center Epsilon,Healthy
CAR-1236,Hatchback,2023,3,48035,Diesel,South,Engine,54,Warning,Overheating,6/23/2024,Corrective,1226,17,Center Alpha,Healthy
CAR-1355,Crossover,2022,4,42498,Electric,Central,Suspension,77,Healthy,No Failure,7/11/2024,Preventive,482.36,1,Center Epsilon,Healthy
CAR-1164,City,2023,3,30334,Petrol,South,Cooling System,86,Healthy,No Failure,11/5/2024,Preventive,346.41,3,Center Alpha,Healthy
CAR-1386,Compact,2024,2,17977,Hybrid,South,Brake,84,Healthy,No Failure,5/7/2025,Preventive,258.01,3,Center Alpha,Healthy
CAR-1339,Crossover,2020,6,71511,Electric,Central,Battery,52,Warning,Battery Failure,6/24/2023,Preventive,155.84,3,Center Alpha,Healthy
CAR-1161,Compact,2022,4,57299,Electric,West,Battery,66,Warning,Battery Failure,7/8/2024,Preventive,177.46,1,Center Epsilon,Healthy
CAR-1483,Crossover,2023,3,25634,Petrol,South,Cooling System,100,Healthy,No Failure,2/14/2025,Preventive,341.34,2,Center Alpha,Healthy
CAR-1470,City,2019,7,125748,Electric,South,Engine,18,Critical,Mechanical Failure,1/28/2024,Emergency,2073.81,21,Center Epsilon,Needs Inspection
CAR-1311,Hatchback,2019,7,127918,Hybrid,West,Suspension,17,Critical,Suspension Failure,12/28/2023,Emergency,1337.02,29,Center Alpha,Under Maintenance
CAR-1025,Hatchback,2020,6,94218,Petrol,South,Headlight,58,Warning,Lighting Failure,7/17/2024,Preventive,112.14,3,Center Delta,Healthy
CAR-1056,Compact,2019,7,77592,Hybrid,West,Suspension,47,Warning,Suspension Failure,12/27/2023,Preventive,393.14,1,Center Gamma,Healthy
CAR-1247,Hatchback,2024,2,24066,Electric,North,Headlight,59,Warning,Lighting Failure,8/20/2024,Corrective,182.37,7,Center Beta,Healthy
CAR-1077,Compact,2018,8,85942,Petrol,Central,Engine,42,Critical,Mechanical Failure,11/27/2023,Emergency,1809.19,20,Center Epsilon,Needs Inspection
CAR-1049,Premium Sedan,2019,7,124124,Electric,North,Battery,10,Critical,Battery Failure,6/4/2025,Emergency,493.55,21,Center Beta,Needs Inspection
CAR-1153,Hatchback,2019,7,117944,Diesel,North,Transmission,39,Critical,Transmission Fault,9/2/2023,Emergency,2861.66,69,Center Beta,Under Maintenance
CAR-1417,Compact,2018,8,110639,Electric,North,Engine,58,Warning,Mechanical Failure,1/23/2025,Corrective,1450.62,8,Center Epsilon,Healthy
CAR-1085,Premium Sedan,2021,5,53557,Petrol,North,Transmission,59,Warning,Transmission Fault,6/19/2023,Preventive,968.4,3,Center Delta,Healthy
CAR-1359,Premium Sedan,2018,8,81590,Diesel,North,Transmission,38,Critical,Transmission Fault,1/10/2023,Corrective,1498.24,17,Center Delta,Needs Inspection
CAR-1264,Premium Sedan,2021,5,91192,Diesel,East,Headlight,36,Critical,Lighting Failure,11/23/2023,Emergency,261.83,45,Center Alpha,Under Maintenance
CAR-1322,City,2018,8,134819,Petrol,North,Transmission,10,Critical,Transmission Fault,11/20/2023,Emergency,2082.38,48,Center Alpha,Under Maintenance
CAR-1113,Hatchback,2022,4,74568,Diesel,North,Headlight,74,Warning,Lighting Failure,12/20/2023,Preventive,121.99,3,Center Epsilon,Healthy
CAR-1424,City,2018,8,95131,Diesel,East,Brake,65,Warning,Brake Wear,11/30/2024,Corrective,471.76,11,Center Beta,Healthy
CAR-1039,Premium Sedan,2018,8,134188,Petrol,North,Transmission,10,Critical,Transmission Fault,8/9/2023,Emergency,2800,47,Center Alpha,Under Maintenance
CAR-1367,Premium Sedan,2019,7,69167,Petrol,South,Battery,49,Warning,Battery Failure,7/8/2023,Corrective,347.17,21,Center Delta,Healthy
CAR-1481,Sedan,2024,2,28989,Diesel,Central,Suspension,92,Healthy,No Failure,4/15/2024,Preventive,394.11,3,Center Epsilon,Healthy
CAR-1247,Hatchback,2024,2,24820,Electric,North,Headlight,98,Healthy,No Failure,11/30/2024,Preventive,106.6,2,Center Epsilon,Healthy
CAR-1312,City,2024,2,41649,Diesel,South,Battery,45,Warning,Battery Failure,12/8/2023,Preventive,171.35,1,Center Delta,Healthy
CAR-1475,Hatchback,2019,7,76845,Hybrid,North,Suspension,56,Warning,Suspension Failure,6/20/2024,Corrective,685.06,11,Center Gamma,Healthy
CAR-1434,Premium Sedan,2020,6,51582,Petrol,North,Tyre,65,Warning,Tyre Damage,5/18/2024,Corrective,288.8,23,Center Epsilon,Healthy
CAR-1309,Crossover,2023,3,29115,Diesel,West,Suspension,79,Healthy,No Failure,2/5/2025,Preventive,519.6,1,Center Alpha,Healthy
CAR-1464,Compact,2022,4,45439,Hybrid,North,Engine,56,Warning,Mechanical Failure,7/5/2025,Corrective,1213.8,18,Center Epsilon,Healthy
CAR-1101,City,2018,8,95544,Electric,West,Suspension,18,Critical,Suspension Failure,10/3/2025,Corrective,611.36,20,Center Beta,Needs Inspection
CAR-1166,Crossover,2019,7,56217,Petrol,West,Tyre,50,Warning,Tyre Damage,8/4/2024,Preventive,123.89,1,Center Delta,Healthy
CAR-1307,Compact,2024,2,17122,Petrol,East,Engine,97,Healthy,No Failure,8/20/2025,Preventive,814.13,2,Center Beta,Healthy
CAR-1270,Sedan,2019,7,74764,Hybrid,Central,Tyre,64,Warning,Tyre Damage,5/2/2024,Corrective,193.93,20,Center Beta,Healthy
CAR-1288,Sedan,2021,5,46234,Petrol,West,Tyre,76,Healthy,No Failure,12/5/2023,Preventive,181.28,2,Center Epsilon,Healthy
CAR-1192,Crossover,2022,4,39330,Petrol,North,Tyre,55,Warning,Tyre Damage,10/20/2024,Preventive,192.11,3,Center Delta,Healthy
CAR-1079,Compact,2019,7,87383,Petrol,West,Cooling System,58,Warning,Overheating,4/19/2025,Preventive,362.46,2,Center Gamma,Healthy
CAR-1113,Hatchback,2022,4,70058,Diesel,North,Headlight,83,Healthy,No Failure,4/23/2023,Preventive,80.61,3,Center Delta,Healthy
CAR-1125,Premium Sedan,2024,2,12702,Petrol,East,Headlight,100,Healthy,No Failure,11/22/2025,Preventive,110.28,1,Center Beta,Healthy
CAR-1367,Premium Sedan,2019,7,75938,Petrol,South,Suspension,43,Critical,Suspension Failure,10/16/2023,Corrective,649.94,12,Center Epsilon,Needs Inspection
CAR-1083,Crossover,2018,8,91558,Petrol,West,Suspension,32,Critical,Suspension Failure,12/4/2023,Emergency,957.02,33,Center Beta,Under Maintenance
CAR-1360,City,2018,8,142217,Petrol,West,Tyre,10,Critical,Tyre Damage,11/11/2024,Emergency,319.34,47,Center Epsilon,Under Maintenance
CAR-1081,Crossover,2018,8,95224,Diesel,West,Tyre,23,Critical,Tyre Damage,8/8/2024,Emergency,350.35,33,Center Beta,Under Maintenance
CAR-1426,Compact,2021,5,57155,Hybrid,Central,Engine,51,Warning,Mechanical Failure,3/12/2025,Corrective,1317.13,7,Center Gamma,Healthy
CAR-1133,Sedan,2022,4,35274,Hybrid,West,Suspension,84,Healthy,No Failure,5/22/2024,Preventive,430.4,1,Center Beta,Healthy
CAR-1412,Compact,2021,5,82375,Hybrid,South,Engine,75,Healthy,No Failure,10/23/2024,Preventive,819.63,2,Center Gamma,Healthy
CAR-1047,Premium Sedan,2024,2,15355,Electric,Central,Brake,79,Healthy,No Failure,10/27/2025,Preventive,278.44,2,Center Alpha,Healthy
CAR-1136,Compact,2024,2,25744,Diesel,Central,Headlight,81,Healthy,No Failure,9/9/2024,Preventive,99.95,3,Center Alpha,Healthy
CAR-1329,Crossover,2018,8,63770,Diesel,Central,Tyre,50,Warning,Tyre Damage,1/14/2024,Corrective,244.08,10,Center Alpha,Healthy
CAR-1410,Sedan,2018,8,126674,Diesel,South,Brake,20,Critical,Brake Wear,7/31/2023,Emergency,699.28,31,Center Epsilon,Under Maintenance
CAR-1167,Premium Sedan,2018,8,138476,Diesel,North,Cooling System,10,Critical,Overheating,3/2/2023,Corrective,443.41,7,Center Beta,Needs Inspection
